Edad,Sexo,Mayor nivel educativo,Ingreso anual,AÒos de xperiencia laboral,Estado de vivienda,Monto solicitado,Destino de los fondos,Tasa de interÈs,Porcentaje del ingreso,Plazo en aÒos,Puntaje,PrÈstamos previos impagos,Estado
22,FEMENINO,MAESTRÌA,71948,0,INQUILINO,35000,PERSONAL,16.02,0.49,3,561,NO,OTORGADO
21,FEMENINO,SECUNDARIO,12282,0,PROPIETARIO,1000,EDUCACION,11.14,0.08,2,504,SI,RECHAZADO
25,FEMENINO,SECUNDARIO,12438,3,HIPOTECA,5500,SALUD,12.87,0.44,3,635,NO,OTORGADO
23,FEMENINO,UNIVERSITARIO,79753,0,INQUILINO,35000,SALUD,15.23,0.44,2,675,NO,OTORGADO
24,MASCULINO,MAESTRÌA,66135,1,INQUILINO,35000,SALUD,14.27,0.53,4,586,NO,OTORGADO
21,FEMENINO,SECUNDARIO,12951,0,PROPIETARIO,2500,EMPRESA,7.14,0.19,2,532,NO,OTORGADO
26,FEMENINO,UNIVERSITARIO,93471,1,INQUILINO,35000,EDUCACION,12.42,0.37,3,701,NO,OTORGADO
24,FEMENINO,SECUNDARIO,95550,5,INQUILINO,35000,SALUD,11.11,0.37,4,585,NO,OTORGADO
24,FEMENINO,TERCIARIO,100684,3,INQUILINO,35000,PERSONAL,8.9,0.35,2,544,NO,OTORGADO
21,FEMENINO,SECUNDARIO,12739,0,PROPIETARIO,1600,EMPRESA,14.74,0.13,3,640,NO,OTORGADO
22,FEMENINO,SECUNDARIO,102985,0,INQUILINO,35000,EMPRESA,10.37,0.34,4,621,NO,OTORGADO
21,FEMENINO,TERCIARIO,13113,0,PROPIETARIO,4500,VIVIENDA,8.63,0.34,2,651,NO,OTORGADO
23,MASCULINO,UNIVERSITARIO,114860,3,INQUILINO,35000,EMPRESA,7.9,0.3,2,573,NO,OTORGADO
26,MASCULINO,MAESTRÌA,130713,0,INQUILINO,35000,EDUCACION,18.39,0.27,4,708,NO,OTORGADO
23,FEMENINO,TERCIARIO,138998,0,INQUILINO,35000,EDUCACION,7.9,0.25,4,583,NO,RECHAZADO
23,FEMENINO,MAESTRÌA,600891,5,HIPOTECA,30000,DEUDAS,10.65,0.05,3,670,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,144943,0,INQUILINO,35000,EDUCACION,7.9,0.24,4,663,NO,RECHAZADO
23,FEMENINO,SECUNDARIO,111369,0,INQUILINO,35000,SALUD,20,0.31,4,694,NO,OTORGADO
23,MASCULINO,UNIVERSITARIO,136628,0,INQUILINO,35000,DEUDAS,18.25,0.26,4,709,NO,OTORGADO
24,FEMENINO,MAESTRÌA,14283,1,HIPOTECA,1750,EDUCACION,10.99,0.12,2,679,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,195718,0,INQUILINO,35000,EMPRESA,7.49,0.18,4,684,SI,RECHAZADO
25,MASCULINO,SECUNDARIO,165792,4,INQUILINO,34800,PERSONAL,16.77,0.21,2,662,NO,RECHAZADO
22,FEMENINO,MAESTRÌA,79255,0,INQUILINO,34000,EDUCACION,17.58,0.43,4,691,NO,OTORGADO
24,FEMENINO,UNIVERSITARIO,13866,0,PROPIETARIO,1500,PERSONAL,7.29,0.11,3,600,SI,RECHAZADO
22,MASCULINO,UNIVERSITARIO,97420,1,INQUILINO,33950,PERSONAL,14.54,0.35,4,691,NO,OTORGADO
24,FEMENINO,SECUNDARIO,82443,0,INQUILINO,33000,VIVIENDA,12.68,0.4,3,654,NO,OTORGADO
21,FEMENINO,TERCIARIO,14288,0,HIPOTECA,4575,EMPRESA,17.74,0.32,3,626,NO,OTORGADO
23,MASCULINO,SECUNDARIO,14293,0,PROPIETARIO,1400,PERSONAL,9.32,0.1,3,607,NO,RECHAZADO
24,FEMENINO,UNIVERSITARIO,79054,1,INQUILINO,32500,VIVIENDA,9.99,0.41,3,700,NO,OTORGADO
21,FEMENINO,UNIVERSITARIO,14988,0,OTRO,4000,EDUCACION,12.84,0.27,2,553,NO,OTORGADO
21,MASCULINO,SECUNDARIO,14858,0,PROPIETARIO,2000,SALUD,11.12,0.13,3,589,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,144855,1,INQUILINO,32000,EMPRESA,6.62,0.22,2,586,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,114645,2,INQUILINO,31050,VIVIENDA,14.17,0.27,3,681,NO,OTORGADO
25,FEMENINO,SECUNDARIO,368115,3,INQUILINO,24250,DEUDAS,13.85,0.07,3,567,SI,RECHAZADO
26,FEMENINO,TERCIARIO,361076,1,HIPOTECA,7800,SALUD,13.49,0.02,4,669,NO,RECHAZADO
21,MASCULINO,TERCIARIO,15150,0,PROPIETARIO,2500,EDUCACION,7.51,0.17,4,600,NO,OTORGADO
22,FEMENINO,UNIVERSITARIO,58868,0,INQUILINO,30000,EDUCACION,18.39,0.51,2,606,NO,OTORGADO
24,MASCULINO,SECUNDARIO,78026,3,INQUILINO,30000,DEUDAS,14.54,0.38,3,582,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,90785,4,INQUILINO,30000,VIVIENDA,16.89,0.33,4,649,NO,OTORGADO
23,FEMENINO,SECUNDARIO,86811,0,INQUILINO,30000,DEUDAS,11.01,0.35,4,602,NO,OTORGADO
26,MASCULINO,UNIVERSITARIO,75503,5,INQUILINO,30000,SALUD,17.99,0.4,2,616,NO,OTORGADO
24,FEMENINO,SECUNDARIO,15082,0,PROPIETARIO,2500,EMPRESA,12.69,0.17,3,631,NO,OTORGADO
26,MASCULINO,UNIVERSITARIO,361293,5,HIPOTECA,20000,EMPRESA,7.88,0.06,4,684,SI,RECHAZADO
23,MASCULINO,SECUNDARIO,361547,0,PROPIETARIO,24250,EDUCACION,19.41,0.07,2,637,SI,RECHAZADO
26,MASCULINO,MAESTRÌA,360680,5,PROPIETARIO,10000,VIVIENDA,10.38,0.03,4,649,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,360977,5,HIPOTECA,25000,EDUCACION,15.33,0.07,3,695,SI,RECHAZADO
25,FEMENINO,UNIVERSITARIO,361244,2,HIPOTECA,18000,VIVIENDA,16.45,0.05,3,620,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,98230,2,INQUILINO,30000,PERSONAL,7.49,0.31,3,622,NO,OTORGADO
22,FEMENINO,SECUNDARIO,80838,0,INQUILINO,30000,SALUD,12.69,0.37,3,645,NO,OTORGADO
26,MASCULINO,MAESTRÌA,107957,2,INQUILINO,30000,DEUDAS,6.62,0.28,3,654,NO,OTORGADO
24,FEMENINO,UNIVERSITARIO,94649,2,INQUILINO,30000,DEUDAS,11.01,0.32,4,624,NO,OTORGADO
23,MASCULINO,SECUNDARIO,94550,1,INQUILINO,30000,DEUDAS,18.62,0.32,3,570,NO,OTORGADO
23,MASCULINO,UNIVERSITARIO,111153,3,INQUILINO,30000,PERSONAL,15.23,0.27,3,648,NO,OTORGADO
23,FEMENINO,TERCIARIO,117250,0,INQUILINO,30000,EMPRESA,10.65,0.26,2,652,NO,OTORGADO
25,MASCULINO,UNIVERSITARIO,144985,3,INQUILINO,30000,EDUCACION,7.9,0.21,4,559,NO,RECHAZADO
26,MASCULINO,SECUNDARIO,337133,7,INQUILINO,10000,PERSONAL,15.96,0.03,3,623,SI,RECHAZADO
26,MASCULINO,TERCIARIO,333566,2,INQUILINO,20000,EMPRESA,11.48,0.06,3,602,SI,RECHAZADO
23,MASCULINO,UNIVERSITARIO,333399,1,PROPIETARIO,35000,PERSONAL,11.01,0.1,4,609,NO,RECHAZADO
25,MASCULINO,MAESTRÌA,154793,1,INQUILINO,30000,PERSONAL,7.29,0.19,4,573,SI,RECHAZADO
24,MASCULINO,TERCIARIO,15229,1,PROPIETARIO,1750,EMPRESA,11.01,0.11,3,631,SI,RECHAZADO
21,FEMENINO,UNIVERSITARIO,158338,0,INQUILINO,30000,EMPRESA,5.99,0.19,4,623,SI,RECHAZADO
22,FEMENINO,UNIVERSITARIO,331034,0,PROPIETARIO,12000,EMPRESA,11.58,0.04,2,602,SI,RECHAZADO
26,FEMENINO,SECUNDARIO,316466,6,HIPOTECA,10000,EDUCACION,11.01,0.03,4,579,NO,OTORGADO
25,FEMENINO,TERCIARIO,267671,0,HIPOTECA,25000,SALUD,15.7,0.09,2,582,NO,OTORGADO
22,MASCULINO,MAESTRÌA,85191,0,INQUILINO,29100,EDUCACION,15.99,0.34,3,700,NO,OTORGADO
22,MASCULINO,TERCIARIO,15013,0,HIPOTECA,1500,EDUCACION,14.84,0.1,3,688,NO,RECHAZADO
26,MASCULINO,UNIVERSITARIO,313100,3,PROPIETARIO,28000,VIVIENDA,10.99,0.09,3,607,SI,RECHAZADO
25,FEMENINO,UNIVERSITARIO,311952,0,HIPOTECA,20000,VIVIENDA,14.42,0.06,2,661,SI,RECHAZADO
24,MASCULINO,SECUNDARIO,306897,5,HIPOTECA,9600,EDUCACION,6.99,0.03,2,562,SI,RECHAZADO
25,FEMENINO,UNIVERSITARIO,301136,0,INQUILINO,25000,SALUD,13.49,0.08,4,664,SI,RECHAZADO
25,MASCULINO,SECUNDARIO,15162,1,PROPIETARIO,3000,SALUD,11.01,0.2,3,564,NO,OTORGADO
22,MASCULINO,TERCIARIO,69042,0,INQUILINO,28000,SALUD,11.01,0.41,2,598,NO,OTORGADO
21,FEMENINO,SECUNDARIO,15307,0,PROPIETARIO,3000,EDUCACION,13.61,0.2,3,557,NO,OTORGADO
23,FEMENINO,TERCIARIO,79183,0,INQUILINO,28000,EDUCACION,7.9,0.35,2,677,NO,OTORGADO
26,MASCULINO,UNIVERSITARIO,102654,4,INQUILINO,28000,EMPRESA,7.49,0.27,3,690,NO,OTORGADO
26,MASCULINO,TERCIARIO,15229,1,PROPIETARIO,6100,EDUCACION,7.51,0.4,3,599,NO,OTORGADO
22,MASCULINO,SECUNDARIO,106566,0,INQUILINO,28000,EMPRESA,9.91,0.26,3,604,NO,OTORGADO
21,FEMENINO,UNIVERSITARIO,15252,0,PROPIETARIO,4200,PERSONAL,13.48,0.28,4,663,NO,OTORGADO
22,MASCULINO,UNIVERSITARIO,15432,3,PROPIETARIO,4750,DEUDAS,7.14,0.31,2,601,NO,OTORGADO
24,MASCULINO,SECUNDARIO,100332,1,INQUILINO,28000,EMPRESA,15.99,0.28,4,634,NO,OTORGADO
24,MASCULINO,UNIVERSITARIO,300951,2,INQUILINO,18000,EDUCACION,12.98,0.06,3,671,NO,RECHAZADO
144,MASCULINO,UNIVERSITARIO,300616,125,INQUILINO,4800,EMPRESA,13.57,0.02,3,789,NO,RECHAZADO
25,FEMENINO,UNIVERSITARIO,121062,1,INQUILINO,28000,DEUDAS,12.69,0.23,3,622,NO,RECHAZADO
26,MASCULINO,TERCIARIO,133372,1,INQUILINO,28000,EDUCACION,8.9,0.21,2,538,SI,RECHAZADO
26,MASCULINO,UNIVERSITARIO,15505,0,PROPIETARIO,2700,DEUDAS,11.01,0.17,4,587,NO,OTORGADO
22,MASCULINO,MAESTRÌA,130852,0,INQUILINO,28000,EDUCACION,11.01,0.21,4,683,NO,OTORGADO
23,MASCULINO,TERCIARIO,182316,0,INQUILINO,28000,DEUDAS,11.11,0.15,2,634,SI,RECHAZADO
